X,Y,OBJECTID,Main_Categ,Sub_Catego,Company_Na,Address,City,State,ZIP_Code,County,SNAP_Acc
-76.1035689997237,39.5411489998083,82,Convenience Store,Discount,Family Dollar 10813,1122 Revolution St,Havre de Grace,MD,21078,Harford,Yes
-75.1676859997424,38.3776320000884,83,Convenience Store,Discount,Dollar General Store 16880,11234 Five L Dr,Berlin,MD,21811,Worcester,Yes
-76.990996999942,39.0409549998172,84,Small Grocery/Corner Store, ,Adarash Market 2,11249 New Hampshire Ave,Silver Spring,MD,20904,Montgomery,Yes
-77.0510939995988,39.0404239996745,85,Small Grocery/Corner Store, ,Ethio Plus,11303 Georgia Ave,Silver Spring,MD,20902,Montgomery,Yes
-77.7699890001932,39.61954499978,86,Convenience Store,Discount,Dollar Tree 1079,11305 Massey Blvd,Hagerstown,MD,21740,Washington,Yes
-76.6310119998811,39.2816770002177,87,Small Grocery/Corner Store, ,Dahj Llcdba Bernal's Deli Grocery,1131 W Cross St,Baltimore,MD,21230,Baltimore City,Yes
-76.8023070001018,39.4370989998485,88,Small Grocery/Corner Store, ,Divina Providencia 3,11312 Reisterstown Rd,Owings Mills,MD,21117,Baltimore,Yes
-76.9015199997418,39.0389820000044,89,Small Grocery/Corner Store, ,Lapita 1,11324 Old Baltimore Pike,Beltsville,MD,20705,Prince Georges,Yes
-78.9280399999,39.6401860003256,90,Small Grocery/Corner Store, ,B & B COUNTRY MEATS,11329 Upper Georges Creek Rd SW,Frostburg,MD,21532,Allegany,Yes
-76.6294629998024,39.2993740000894,91,Small Grocery/Corner Store, ,Harlem Mini Mart Llc,1133 Pennsylvania Ave Ste 1,Baltimore,MD,21201,Baltimore City,Yes
-75.2031560002954,38.3900719998442,92,Convenience Store,Discount,Dollar General 7531,11330 Samuel Bowen Blvd,Berlin,MD,21811,Worcester,Yes
-77.2696529997041,39.4748759999768,93,Convenience Store,Discount,Dollar General 11988,11339 Liberty Rd,Frederick,MD,21701,Frederick,Yes
-77.6672060003927,39.6268729998613,94,Small Grocery/Corner Store, ,Exotic Bite,11359 Robinwood Dr,Hagerstown,MD,21742,Washington,Yes
-76.9286120002397,38.6132620002763,95,Convenience Store,Discount,Dollar Tree 626,1140 Smallwood Dr W Ste. A,Waldorf,MD,20603,Charles,Yes
-77.0519940001224,39.0420680002857,96,Small Grocery/Corner Store, ,Engocha Market,11406A Georgia Ave,Silver Spring,MD,20902,Montgomery,Yes
-77.051460000195,39.0420610001927,97,Small Grocery/Corner Store, ,La Salvadorenita Grocery,11417 Georgia Ave,Silver Spring,MD,20902,Montgomery,Yes
-77.1106570002266,39.0443079999915,98,Small Grocery/Corner Store, ,Russian Gourmets,11431 Rockville Pike,Rockville,MD,20852,Montgomery,Yes
-76.951690999988,39.0448839998579,99,Small Grocery/Corner Store, ,Abart International Food Market,11456 Cherry Hill Rd,Beltsville,MD,20705,Prince Georges,Yes
-76.9517289996229,39.0449410002106,100,Small Grocery/Corner Store, ,Bangla Bazaar,11468 Cherry Hill Rd,Beltsville,MD,20705,Prince Georges,Yes
-76.9755780001984,38.7328570001706,101,Convenience Store,Gas Station,Friendly Market,11500 Old Fort Rd,Fort Washington,MD,20744,Prince Georges,Yes
-76.6886520003363,39.0809900000665,102,Convenience Store,Discount,Dollar Tree 1681,1151 Annapolis Rd,Odenton,MD,21113,Anne Arundel,Yes
